Country,State,Year,"Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1","Registered Murder Cases (UOM:Number), Scaling Factor:1","Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1"
India,Ladakh,"Calendar Year (Jan - Dec), 2019",490.04582746145292606360,2.60290365416501063210,,,,,,,,65.70691241270329360360,555.75273987415621966720,67.12866650951611453710,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",123,0,,,,,,,,59,182,38,,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",246470,1795,,,,,,,,149149,395619,27560,,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",341084,2142,,,,,,,,168349,509433,37144,,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2019",2830,56,,,,,,,,831,3661,266,,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",3125,68,,,,,,,,772,3897,558,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2019",2379,22,,,,,,,,501,2880,170,,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2019",1117,25,,,,,,,,544,1661,43,,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2019",96033,1356,,,,,,,,25492,121525,23183,,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2019",3167,29,,,,,,,,837,4004,95,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2019",44697,679,,,,,,,,28158,72855,5886,,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",225306,1659,,,,,,,,79088,304394,41550,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2019",632,17,,,,,,,,189,821,125,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",168116,1745,,,,,,,,286978,455094,5934,,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2019",118338,839,,,,,,,,12916,131254,18394,,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",548.00000000000000000000,13.00000000000000000000,,,,,,,,112.00000000000000000000,660.00000000000000000000,82.00000000000000000000,,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2019",5336,144,,,,,,,,652,5988,1070,,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",353131,3806,,,,,,,,275447,628578,59853,,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",12081,199,,,,,,,,16187,28268,2541,,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2019",157610,1933,,,,,,,,30453,188063,30394,,,,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",706,11,3,1,1.1096867,0.599067,0,0,1,2993,3699,147,3,7,37,0,25
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",126635,935,173,151,112.3250786,49.8332477,74654,1836,330,18068,144703,16438,3,1207,6473,91,966
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",2613,62,9,18,11.373719,2.2370184,0,0,0,204,2817,368,0,7,122,2,31
India,Assam,"Calendar Year (Jan - Dec), 2018",112232,1241,578,25,110.1841057,24.1374176,8698,8,6,8340,120572,27728,7,2022,8826,94,150
India,Bihar,"Calendar Year (Jan - Dec), 2018",196911,2934,62,69,119.2091809,22.219691,41400,7061,64,65904,262815,16920,0,374,9209,152,671
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",3072,20,1,3,9.8999295,3.5143653,1124,1,0,2895,5967,442,2,30,205,0,137
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",60178,917,18,27,53.0315023,17.6909347,23987,264,388,38055,98233,8587,0,139,1871,54,1911
India,Delhi,"Calendar Year (Jan - Dec), 2018",249012,513,11,6,1017.663242,61.8092238,24432,36,0,13600,262612,13640,189,189,4918,17,2727
