Row Labels,"Sum of Cases Registered Under Ipc And Sll (Special & Local Laws) In Which Juveniles Were Apprehended (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Environment Related Offences (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Economic Offences (UOM:Number), Scaling Factor:1","Sum of Registered Cyber-Crime Cases (UOM:Number), Scaling Factor:1","Sum of Cases Of Crime Against Foreigners (UOM:Number), Scaling Factor:1","Sum of Cases Registered Under Crime Against Women (Including Both Ipc And Sll (Special & Local Laws Crimes) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Ipc (Indian Penal Code) And Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Registered Under Sll (Special & Local Laws) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Tribes (Sts) (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Crime Or Atrocities Against Scheduled Castes (Scs) (UOM:Number), Scaling Factor:1","Sum of Cases Registered By Railway Protection Force (UOM:Number), Scaling Factor:1","Sum of Value Of Property Recovered (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Value Of Property Stolen (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sum of Cases Reported Under The Prevention Of Corruption Act And Related Sections Of Ipc (UOM:Number), Scaling Factor:1","Sum of Registered Cases Of Offence Against State (UOM:Number), Scaling Factor:1","Sum of Registered Murder Cases (UOM:Number), Scaling Factor:1","Sum of Cognizable Crimes Reported By Ipc (UOM:Number), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2020",,,,,,13000,192395,89119,,,,,,,,1143,103276
"Calendar Year (Jan - Dec), 2021",,,,,,16658,206431,93711,,,,,,,,1112,112720
"Calendar Year (Jan - Dec), 2022",,,,,,16743,242849,117414,,,,,,,,1020,125435
Himachal Pradesh,620,644,1681,156,16,10501,133079,36527,6,355,833,24.1003894,55.5285988,85,207,631,96552
"Calendar Year (Jan - Dec), 2016",204,178,507,31,4,1222,17249,3863,2,116,236,8.6154091,19.5650217,28,58,101,13386
"Calendar Year (Jan - Dec), 2017",184,196,574,56,4,1246,17796,4789,3,109,274,8.5105712,18.0202617,29,68,99,13007
"Calendar Year (Jan - Dec), 2018",232,270,600,69,8,1633,19594,4990,1,130,323,6.9744091,17.9433154,28,81,99,14604
"Calendar Year (Jan - Dec), 2019",,,,,,1636,19924,5444,,,,,,,,70,14480
"Calendar Year (Jan - Dec), 2020",,,,,,1614,20630,5827,,,,,,,,91,14803
"Calendar Year (Jan - Dec), 2021",,,,,,1599,18833,5792,,,,,,,,86,13041
"Calendar Year (Jan - Dec), 2022",,,,,,1551,19053,5822,,,,,,,,85,13231
Jammu and Kashmir,655.3449962,24.4531715,1988.531906,160.412805,0,23269.91385,193404.1576,23072.5957,0,1.95625372,4711.637085,32.02660609,86.08372931,218.1222898,633.8262053,965.0073549,170331.562
"Calendar Year (Jan - Dec), 2016",193.6691183,3.91250744,627.9574442,27.38755208,0,2787.661551,26041.64952,2076.563324,0,0.97812686,1000.623778,11.01680735,24.44736375,53.7969773,180.9534691,138.8940141,23965.0862
"Calendar Year (Jan - Dec), 2017",182.9097228,12.71564918,675.8856603,61.62199218,0,3060.558945,25047.87263,2876.671095,0,0,1108.217732,10.14292719,28.96602905,82.16265624,178.0190885,148.6752827,22171.20154
"Calendar Year (Jan - Dec), 2018",278.7661551,7.82501488,684.688802,71.40326078,0,3361.822018,26679.38823,2993.068192,0,0.97812686,2602.795575,10.86687155,32.67033651,82.16265624,274.8536477,177.0409617,23686.32004
"Calendar Year (Jan - Dec), 2019",,,,,,3001.871333,24852.24726,2938.293088,,,,,,,,116.3970963,21913.95417
"Calendar Year (Jan - Dec), 2020",,,,,,3405,28911,3678,,,,,,,,149,25233
"Calendar Year (Jan - Dec), 2021",,,,,,3937,31675,4228,,,,,,,,136,27447
"Calendar Year (Jan - Dec), 2022",,,,,,3716,30197,4282,,,,,,,,99,25915
Jharkhand,294,452,10815,1909,2,50625,407045,78962,741,1603,67283,12.4578328,99.6154028,379,375,11054,328083
"Calendar Year (Jan - Dec), 2016",140,139,3119,259,2,5453,47817,7107,280,525,18411,5.9087803,27.9243861,119,106,1514,40710
"Calendar Year (Jan - Dec), 2017",75,158,3510,720,0,5911,52664,8069,237,541,23157,3.1909301,34.7385441,170,78,1487,44595
"Calendar Year (Jan - Dec), 2018",79,155,4186,930,0,7083,55664,10377,224,537,25715,3.3581224,36.9524726,90,191,1712,45287
"Calendar Year (Jan - Dec), 2019",,,,,,8760,62206,12158,,,,,,,,1626,50048
"Calendar Year (Jan - Dec), 2020",,,,,,7630,63570,12537,,,,,,,,1592,51033
"Calendar Year (Jan - Dec), 2021",,,,,,8110,60765,13081,,,,,,,,1573,47684
"Calendar Year (Jan - Dec), 2022",,,,,,7678,64359,15633,,,,,,,,1550,48726
Karnataka,1480,1072,22799,10114,70,100512,1185168,292174,1097,5072,110108,327.8862198,816.6194938,692,371,9697,892994
"Calendar Year (Jan - Dec), 2016",453,178,7980,1101,12,14131,179479,31077,374,1869,37839,105.3072547,276.5805465,25,148,1573,148402
"Calendar Year (Jan - Dec), 2017",499,494,7604,3174,30,14078,184063,37709,401,1878,37873,125.3063094,295.2527802,289,111,1384,146354
"Calendar Year (Jan - Dec), 2018",528,400,7215,5839,28,13514,163416,36882,322,1325,34396,97.2726557,244.7861671,378,112,1334,126534
"Calendar Year (Jan - Dec), 2019",,,,,,13828,163691,43526,,,,,,,,1314,120165
"Calendar Year (Jan - Dec), 2020",,,,,,12680,150080,43730,,,,,,,,1331,106350
"Calendar Year (Jan - Dec), 2021",,,,,,14468,163697,47969,,,,,,,,1357,115728
"Calendar Year (Jan - Dec), 2022",,,,,,17813,180742,51281,,,,,,,,1404,129461
Kerala,1584,12558,15417,943,44,81905,3861140,2474829,464,2613,90762,62.0773842,207.0766405,714,973,2202,1386311
"Calendar Year (Jan - Dec), 2016",628,28,5217,283,15,10034,707870,447773,182,810,29195,18.2417155,83.0546576,430,317,305,260097
"Calendar Year (Jan - Dec), 2017",481,6780,4678,320,19,11057,653500,417654,144,916,33109,20.4184909,57.4834954,142,315,305,235846
"Calendar Year (Jan - Dec), 2018",475,5750,5522,340,10,10461,512167,325209,138,887,28458,23.4171778,66.5384875,142,341,292,186958
"Calendar Year (Jan - Dec), 2019",,,,,,11462,453083,277273,,,,,,,,323,175810
"Calendar Year (Jan - Dec), 2020",,,,,,10139,554724,405625,,,,,,,,306,149099
"Calendar Year (Jan - Dec), 2021",,,,,,13539,524960,382317,,,,,,,,337,142643
"Calendar Year (Jan - Dec), 2022",,,,,,15213,454836,218978,,,,,,,,334,235858
Ladakh,14.65500377,0.546828499,44.46809352,3.587194952,0,315.0861523,3734.842351,338.4043014,0,0.04374628,105.3629151,0.716187711,1.925027862,4.877710209,14.17379469,22.99264513,3396.43805
"Calendar Year (Jan - Dec), 2016",4.33088171,0.08749256,14.04255585,0.612447919,0,62.33844886,582.3504781,46.43667612,0,0.02187314,22.37622217,0.246360854,0.546698624,1.203022697,4.046530891,3.105985873,535.9138019
"Calendar Year (Jan - Dec), 2017",4.090277171,0.284350819,15.11433971,1.378007817,0,68.44105491,560.1273679,64.3289046,0,0,24.78226756,0.226818908,0.647746252,1.837343756,3.980911471,3.324717273,495.7984633
"Calendar Year (Jan - Dec), 2018",6.233844886,0.17498512,15.31119797,1.596739216,0,75.17798201,596.6117653,66.93180825,0,0.02187314,58.20442541,0.243007949,0.730582987,1.837343756,6.146352326,3.959038331,529.6799571
"Calendar Year (Jan - Dec), 2019",,,,,,67.12866651,555.7527399,65.70691241,,,,,,,,2.602903654,490.0458275
"Calendar Year (Jan - Dec), 2020",,,,,,9,403,16,,,,,,,,0,387
"Calendar Year (Jan - Dec), 2021",,,,,,18,559,40,,,,,,,,5,519
"Calendar Year (Jan - Dec), 2022",,,,,,15,478,39,,,,,,,,5,439
Lakshadweep,0,1,1,4,0,104,795,250,1,0,0,0.00085,0.065242,0,6,2,545
"Calendar Year (Jan - Dec), 2016",0,0,1,0,0,9,50,14,1,0,0,0,0.026742,0,0,0,36
"Calendar Year (Jan - Dec), 2017",0,0,0,0,0,6,114,36,0,0,0,0.00085,0.0338,0,2,0,78
"Calendar Year (Jan - Dec), 2018",0,1,0,4,0,11,77,29,0,0,0,0,0.0047,0,4,1,48
"Calendar Year (Jan - Dec), 2019",,,,,,38,182,59,,,,,,,,0,123
"Calendar Year (Jan - Dec), 2020",,,,,,15,147,40,,,,,,,,0,107
"Calendar Year (Jan - Dec), 2021",,,,,,9,128,39,,,,,,,,1,89
"Calendar Year (Jan - Dec), 2022",,,,,,16,97,33,,,,,,,,0,64
Madhya Pradesh,19092,217,8998,1488,13,201972,2938514,1023235,5980,15567,279906,201.2200695,572.0185325,952,276,13699,1915279
"Calendar Year (Jan - Dec), 2016",7369,32,2825,258,2,26604,365154,100736,1823,4922,98964,72.5673815,236.7456807,402,21,2004,264418
"Calendar Year (Jan - Dec), 2017",6491,46,3218,490,5,29788,379682,110170,2289,5892,91906,65.4511509,163.7512053,294,32,1908,269512
"Calendar Year (Jan - Dec), 2018",5232,139,2955,740,6,28942,405129,156775,1868,4753,89036,63.2015371,171.5216465,256,223,1879,248354
"Calendar Year (Jan - Dec), 2019",,,,,,27560,395619,149149,,,,,,,,1795,246470
"Calendar Year (Jan - Dec), 2020",,,,,,25640,428046,144165,,,,,,,,2101,283881
"Calendar Year (Jan - Dec), 2021",,,,,,30673,475918,171852,,,,,,,,2034,304066
"Calendar Year (Jan - Dec), 2022",,,,,,32765,488966,190388,,,,,,,,1978,298578
Maharashtra,18512,1619,41803,9495,162,252819,3560541,1187300,1393,5413,681475,1228.837776,6295.996812,2877,854,15531,2373241
"Calendar Year (Jan - Dec), 2016",6606,170,13008,2380,38,31388,430866,169152,403,1750,223360,266.9169112,3371.276576,1016,178,2299,261714
"Calendar Year (Jan - Dec), 2017",6026,439,13941,3604,61,31979,467753,178874,464,1689,234826,207.7489073,1521.331323,925,253,2103,288879
"Calendar Year (Jan - Dec), 2018",5880,1010,14854,3511,63,35497,515674,169383,526,1974,223289,754.1719575,1403.388913,936,423,2199,346291
"Calendar Year (Jan - Dec), 2019",,,,,,37144,509433,168349,,,,,,,,2142,341084
"Calendar Year (Jan - Dec), 2020",,,,,,31954,539003,144986,,,,,,,,2163,394017
"Calendar Year (Jan - Dec), 2021",,,,,,39526,540800,173582,,,,,,,,2330,367218
"Calendar Year (Jan - Dec), 2022",,,,,,45331,557012,182974,,,,,,,,2295,374038
Manipur,32,4,537,114,0,1823,25894,5747,3,2,0,5.5164334,27.75405314,5,975,388,20147
"Calendar Year (Jan - Dec), 2016",10,2,137,11,0,253,4098,928,1,2,0,2.9929104,8.550415835,0,335,78,3170
"Calendar Year (Jan - Dec), 2017",12,1,256,74,0,236,4250,834,1,0,0,1.433081,7.2095632,1,333,63,3416
"Calendar Year (Jan - Dec), 2018",10,1,144,29,0,271,3781,912,1,0,0,1.090442,11.9940741,4,307,52,2869
"Calendar Year (Jan - Dec), 2019",,,,,,266,3661,831,,,,,,,,56,2830
"Calendar Year (Jan - Dec), 2020",,,,,,247,2986,637,,,,,,,,46,2349
"Calendar Year (Jan - Dec), 2021",,,,,,302,3204,720,,,,,,,,46,2484
"Calendar Year (Jan - Dec), 2022",,,,,,248,3914,885,,,,,,,,47,3029
Meghalaya,248,45,875,152,0,4011,25710,4320,0,0,0,4.3233075,36.15888132,2,111,589,21390
"Calendar Year (Jan - Dec), 2016",84,0,324,39,0,372,3582,216,0,0,0,1.7080632,14.97956752,0,51,108,3366
"Calendar Year (Jan - Dec), 2017",93,0,294,39,0,567,3952,431,0,0,0,1.2340167,8.8124516,1,38,87,3521
"Calendar Year (Jan - Dec), 2018",71,45,257,74,0,571,3482,561,0,0,0,1.3812276,12.3668622,1,22,95,2921
"Calendar Year (Jan - Dec), 2019",,,,,,558,3897,772,,,,,,,,68,3125
"Calendar Year (Jan - Dec), 2020",,,,,,568,3744,873,,,,,,,,79,2871
"Calendar Year (Jan - Dec), 2021",,,,,,685,3428,756,,,,,,,,80,2672
"Calendar Year (Jan - Dec), 2022",,,,,,690,3625,711,,,,,,,,72,2914
Mizoram,105,3,279,17,2,1335,20387,3850,0,0,0,5.7943054,18.7062185,17,1,182,16537
"Calendar Year (Jan - Dec), 2016",53,1,119,1,0,120,2800,375,0,0,0,3.4995726,8.9105931,5,0,29,2425
"Calendar Year (Jan - Dec), 2017",21,1,91,10,1,301,2738,620,0,0,0,0.4521947,6.2012808,5,1,21,2118
"Calendar Year (Jan - Dec), 2018",31,1,69,6,1,249,2351,577,0,0,0,1.8425381,3.5943446,7,0,27,1774
"Calendar Year (Jan - Dec), 2019",,,,,,170,2880,501,,,,,,,,22,2379
"Calendar Year (Jan - Dec), 2020",,,,,,172,2289,502,,,,,,,,28,1787
"Calendar Year (Jan - Dec), 2021",,,,,,176,3196,729,,,,,,,,24,2467
"Calendar Year (Jan - Dec), 2022",,,,,,147,4133,546,,,,,,,,31,3587
Nagaland,40,3,309,4,0,444,11478,3631,0,0,336,4.6974689,20.4881145,38,41,201,7847
